geo_description,type,year,estimate,se,moe,cv,subtype
Cleveland,county,2009,1.6159950823324674,0.10650991542012737,0.17520881086610954,6.590980169716539,Cleveland
Cumberland,county,2009,1.609062315036427,0.10625528287662508,0.17478994033204825,6.60355300622522,Cumberland
Davidson,county,2009,1.6250790579132022,0.14136354858889788,0.23254303742873703,8.698872088747839,Davidson
Davie,county,2009,1.4483584114672763,0.15595613798997585,0.25654784699351024,10.767786257545373,Davie
Duplin,county,2009,1.4993614696937436,0.08124214294676871,0.13364332514743452,5.4184494258988165,Duplin
Durham,county,2009,1.737208608465279,0.0761091300016722,0.12519951885275077,4.381116328275055,Durham
Edgecombe,county,2009,1.5699034941975976,0.11662592839117696,0.1918496522034861,7.428859724322501,Edgecombe
Forsyth,county,2009,1.7070204001033684,0.08929025884718388,0.1468824758036175,5.230766945830109,Forsyth
Franklin,county,2009,1.4393382167029756,0.09777579283668478,0.16084117921634647,6.793107533867556,Franklin
Gaston,county,2009,1.6928874642030602,0.12423596382567884,0.2043681604932417,7.338701860147796,Gaston
Granville,county,2009,1.6779329280067512,0.16161684423747713,0.2658597087706499,9.631901343605247,Granville
Greene,county,2009,1.5743448007153502,0.17301491663132104,0.2846095378585231,10.989645759474454,Greene
Guilford,county,2009,1.8322868924697355,0.09505090050164705,0.1563587313252094,5.187555556517034,Guilford
Halifax,county,2009,1.7346220158232848,0.14920201738138567,0.2454373185923794,8.601413796225314,Halifax
Harnett,county,2009,1.425149181520968,0.07019695732845928,0.11547399480531552,4.9255866149775756,Harnett
Henderson,county,2009,1.6548329795553338,0.1278951886898517,0.21038758539480604,7.728585921959212,Henderson
Hoke,county,2009,1.8978429020147491,0.152913491988159,0.25154269432052156,8.05722601306073,Hoke
Mecklenburg,county,2009,1.92888264698892,0.07248160580957395,0.11923224155674915,3.7576990970768116,Mecklenburg
Pitt,county,2009,2.026445393867118,0.14515960090077096,0.23878754348176823,7.163262397303445,Pitt
Robeson,county,2009,2.1204589042958517,0.25046716316424217,0.4120184834051784,11.81193196702936,Robeson
Rowan,county,2009,1.577463540528764,0.15977649923470688,0.26283234124109284,10.12869680532521,Rowan
Union,county,2009,1.7929100713849968,0.15625456784273883,0.2570387641013054,8.715136935007257,Union
Wake,county,2009,1.6242258613702862,0.07453350911913761,0.12260762250098138,4.58886358675862,Wake
Wayne,county,2009,1.5951317265082718,0.09638659487023149,0.1585559485615308,6.0425476635224875,Wayne
Alamance,county,2010,1.5129071416459683,0.07069703935822301,0.11629662974427685,4.672926540706796,Alamance
Alexander,county,2010,1.6088091744144213,0.1001312023512274,0.16471582786776906,6.223932828309077,Alexander
Alleghany,county,2010,1.6904557891570722,0.11617189445052285,0.1911027663711101,6.872223171742974,Alleghany
Anson,county,2010,1.4516544348393856,0.1238717383726517,0.20376900962301203,8.533142282333685,Anson
Ashe,county,2010,2.078226981876339,0.19701275807473462,0.32408598703293845,9.479847956591371,Ashe
Beaufort,county,2010,1.7312423849792247,0.15571398479300874,0.2561495049844994,8.994349153187892,Beaufort
Bladen,county,2010,1.8227388412520877,0.15517512424596971,0.2552630793846202,8.513294430011477,Bladen
Brunswick,county,2010,1.958041067785319,0.10169883257998281,0.16729457959407174,5.193907025403266,Brunswick
Buncombe,county,2010,1.6842816005905035,0.0845635453140981,0.13910703204169136,5.02074862567224,Buncombe
Cabarrus,county,2010,1.4097942013338356,0.1242827004406191,0.20444504222481844,8.815662621043034,Cabarrus
Camden,county,2010,1.5641318491850609,0.07970666498644738,0.13111746390270593,5.095904480685301,Camden
Carteret,county,2010,1.7566773155269784,0.13073861589686409,0.21506502315034143,7.442380836895156,Carteret
Catawba,county,2010,1.466686081520046,0.10018334815378604,0.16480160771297805,6.830592409383056,Catawba
Chatham,county,2010,2.2541393283658793,0.11071156492374533,0.18212052429956108,4.911478342556793,Chatham
Cherokee,county,2010,1.6078912816965956,0.1180314406074738,0.1941617197992944,7.340760034654258,Cherokee
Cleveland,county,2010,1.4949141603424159,0.07093721447593548,0.11669171781291388,4.74523664018856,Cleveland
Cumberland,county,2010,1.5972389240120206,0.0849275215011831,0.13970577286944622,5.31714574597632,Cumberland
Davidson,county,2010,1.3962613893372091,0.08788240186321752,0.14456655106499283,6.294122471218258,Davidson
Davie,county,2010,1.6178352097779272,0.14719791889997444,0.24214057659045796,9.09844945952064,Davie
Duplin,county,2010,1.6161772915020545,0.09772288893827454,0.1607541523034616,6.046545106907927,Duplin
Durham,county,2010,1.8292993116889278,0.08949111245714277,0.14721287999199986,4.892097858743454,Durham
Edgecombe,county,2010,1.5051615960922784,0.09563800723582985,0.1573245219029401,6.354002618996297,Edgecombe
Forsyth,county,2010,1.7713759912876146,0.10328850255772114,0.16990958670745127,5.830975640730044,Forsyth
Franklin,county,2010,1.328447201021454,0.07385932938982484,0.12149859684626187,5.5598242318576,Franklin
Gaston,county,2010,1.6750838517608555,0.10372295893060589,0.1706242674408467,6.192105477082348,Gaston
Granville,county,2010,1.7311684035492598,0.12136313941994074,0.19964236434580251,7.010475651653573,Granville
Greene,county,2010,1.795228106732319,0.16442405827583972,0.27047757586375637,9.158950757245274,Greene
Guilford,county,2010,1.7909664866582091,0.08081562797736287,0.13294170802276192,4.5124031398352935,Guilford
Halifax,county,2010,1.7111971094979213,0.184375471671004,0.30329765089880156,10.774648381979866,Halifax
Harnett,county,2010,1.4101769230615153,0.06808720092373416,0.1120034455195427,4.8282736591601445,Harnett
Henderson,county,2010,1.672402867663032,0.14679351306346516,0.2414753289894002,8.777401420543498,Henderson
Hoke,county,2010,2.1406029108972486,0.16061033384547807,0.26420399917581144,7.503041924677059,Hoke
Mecklenburg,county,2010,1.881747629397785,0.06139212896712983,0.10099005215092857,3.262505981568694,Mecklenburg
